Topic_Num,Topic_Perc_Contrib,Keywords,Representative Text
0.0,0.33079999685287476,"amp, refuse, spread, mean, mom, break, soon, medical, include, china","['medical', 'licence', 'retail', 'anti', 'flu', 'viral', 'equipment', 'amp', 'medicine', 'usa', 'amp', 'soon', 'canada', 'shift', 'manufacturer', 'china', 'resme', 'california', 'wuhan', 'able', 'supply', 'chinese', 'make', 'covid', 'vaccine', 'remarkably', 'cheap', 'rate', 'pfizer', 'amp', 'modena', 'price', 'gouge', 'hospital']"
2.0,0.3066999912261963,"world, stay, safe, travel, sure, change, order, thought, healthy, less","['quick', 'update', 'schedule', 'definite', 'hiatus', 'th', 'january', 'break', 'less', 'upload', 'january', 'due', 'test', 'upload', 'schedule', 'likely', 'normalize', 'february', 'th', 'change', 'make', 'change', 'drastically']"
3.0,0.3091999888420105,"day, last, really, never, life, love, lot, person, contact, vaccinated","['say', 'really', 'scare', 'die', 'corona', 'virus', 'follow', 'advice', 'scientist', 'keep', 'safe', 'vaccinated', 'lot', 'thing', 'life', 'never', 'side_effect', 'polio', 'pneumonia', 'love', 'scientist']"
5.0,0.32820001244544983,"first, yet, long, symptom, happy, line, open, staff, request, early","['get', 'stalk', 'amp', 'mob', 'grocery', 'store', 'mob', 'form', 'long', 'line', 'front', 'store', 'empty', 'due', 'covid', 'request', 'employee', 'open', 'cash', 'register', 'smart', 'amp', 'final', 'store', 'recently', 'staff', 'rude']"
16.0,0.32659998536109924,"give, well, live, care, talk, miss, ill, impact, minute, join","['ill', 'live', 'tweet', 'well', 'amazing', 'join', 'well', 'talk', 'covid', 'impact', 'care', 'home', 'specifically', 'tendercare', 'live', 'facility', 'scarborough']"
18.0,0.27160000801086426,"much, case, god, situation, enough, nhs, local, exactly, bit, definitely","['last', 'night', 'casualty', 'emotionally', 'mentally', 'drain', 'piece', 'tv', 'mild', 'case', 'covid', 'bad', 'enough', 'hospitalise', 'thank', 'god', 'end', 'episode', 'break', 'emotionally', 'possibly', 'wonderful', 'tribute', 'nhs']"
21.0,0.2775000035762787,"back, new, job, put, offer, kid, fuck, dad, state, office","['fuck', 'fuck', 'world', 'fuck', 'life', 'fuck', 'home', 'fuck', 'uk', 'government', 'fuck', 'fuck', 'liverpool', 'fuck', 'boris', 'johnson', 'fuck', 'sister', 'stacey', 'amp', 'dad', 'dead', 'fuck', 'modern', 'society', 'fuck', 'bullshit', 'covid', 'enough']"
22.0,0.6377999782562256,"covid, get, tell, people, make, go, know, say, work, help","['say', 'privilege', 'help', 'avoid', 'infected', 'covid', 'aside', 'usual', 'wear_mask', 'wash', 'hand', 'routine', 'privilege', 'able', 'work', 'home', 'limit', 'trip', 'house', 'get', 'almost', 'deliver', 'home']"
23.0,0.31279999017715454,"let, come, try, show, happen, lockdown, big, trump, tweet, team","['year', 'tell', 'team', 'scout', 'try', 'backcap', 'stage', 'dustbowl', 'let', 'happen', 'anyway', 'prepared', 'feeling', 'futility', 'come', 'tweet', 'covid', 'stat', 'big', 'trump', 'news', 'day', 'moretf', 'analogy']"
24.0,0.314300000667572,"call, hospital, government, patient, maybe, problem, turn, lack, phone, vote","['husband', 'cousin', 'private', 'hospital', 'tell', 'phone', 'mind', 'turn', 'hospital', 'covid', 'patient', 'problem', 'lack', 'essential', 'equipment', 'corona', 'patient', 'maybe', 'government', 'help']"
